id, Date, Own Capital, Assets, Long Term Liabilities, Current Liabilities, Current Asset, Non Current Asset, Long Credits
24, 2007-01-26, 137267026.66, 637735739.44, 2118617.11, 4515641.85, 68273003.18, 72291352.16, 70223524.08
25, 2007-01-27, 122075760.57, 606281441.36, 2886665.53, 2309040.90, 34041122.76, 35768343.08, 58805433.25
26, 2007-01-28, 102028307.59, 522222489.24, 1815776.70, 1117303.79, 63243147.22, 83078781.85, 19396395.79
27, 2007-01-29, 146417612.01, 907516547.58, 2253620.89, 7942123.50, 77578719.45, 53899838.88, 33683947.26
28, 2007-01-30, 142592111.38, 325837170.01, 1842184.63, 4669184.54, 26286032.30, 11318961.16, 22933550.86
29, 2007-01-31, 103156181.59, 658791957.64, 2373412.84, 6490183.03, 61155144.03, 73604381.06, 54757147.70
30, 2007-02-01, 138177192.49, 530518194.28, 2455123.25, 1685896.05, 37557842.34, 14636546.82, 33434742.91
31, 2007-02-02, 124079818.32, 312490029.83, 4413336.14, 5895125.74, 34244799.50, 39469009.31, 88057548.52
32, 2007-02-03, 141482621.09, 607808065.28, 3755279.00, 4274838.60, 18068869.17, 60371987.17, 66687983.21
33, 2007-02-04, 126527248.84, 408611036.61, 3210894.40, 2217038.96, 49548722.85, 74735941.82, 65716572.85
34, 2007-02-05, 127236833.79, 911342065.35, 2903288.31, 3904920.87, 38808236.34, 37554640.28, 49188338.49
35, 2007-02-06, 102036135.63, 415790099.74, 1219675.55, 6990544.43, 66778229.37, 51070575.34, 56831922.99
36, 2007-02-07, 145868987.88, 432431414.64, 1239129.17, 7078161.68, 28103737.13, 26117835.95, 43716953.18
37, 2007-02-08, 107504801.14, 931918511.58, 1829020.47, 2070490.77, 57697676.87, 43634923.92, 65686148.67
38, 2007-02-09, 115490666.79, 561696215.67, 3009259.53, 8175944.99, 85886110.43, 72499493.81, 82961206.74
39, 2007-02-10, 141895189.98, 649212875.27, 2778145.48, 5800330.59, 86045245.72, 44194249.20, 11475008.23
40, 2007-02-11, 135446938.75, 816157539.76, 2876584.30, 5423603.84, 70927292.04, 52242147.67, 15815486.22
41, 2007-02-12, 143996488.20, 768666797.30, 2156957.64, 2938717.80, 83996270.71, 26790733.11, 82368663.04
42, 2007-02-13, 103450029.73, 583865789.32, 3691117.00, 7597870.55, 53429467.55, 72656740.25, 31612659.17
43, 2007-02-14, 129781928.69, 332750483.75, 2147935.48, 7614.62, 26803373.86, 16492080.50, 43109951.93
44, 2007-02-15, 120734805.71, 458147574.23, 2674473.87, 2737922.17, 74393602.52, 87604057.51, 54567400.69
45, 2007-02-16, 132275306.07, 460354884.81, 1777799.64, 3081379.06, 20941943.74, 47062546.70, 26435002.74
46, 2007-02-17, 122513921.91, 967521718.16, 2732828.08, 7267148.51, 65638625.54, 51681214.16, 21699424.56
47, 2007-02-18, 129310829.94, 488670831.09, 2290085.36, 5673639.39, 63421864.55, 21312812.42, 73431733.55
48, 2007-02-19, 109994086.99, 626835217.27, 3375440.82, 8728661.88, 21620698.54, 72366609.77, 64235900.83
49, 2007-02-20, 110940003.15, 964936015.47, 1756651.00, 4757646.43, 26167671.84, 36046946.04, 52522349.23
50, 2007-02-21, 119072361.35, 812370178.71, 3251589.40, 5955843.74, 43894672.06, 47709754.22, 37603276.67
51, 2007-02-22, 144750687.09, 400167094.81, 3587011.81, 6611476.06, 27040945.63, 54708465.26, 43246852.40
52, 2007-02-23, 125548592.64, 482761561.39, 1981960.07, 4841812.11, 27646455.12, 39656327.14, 75767206.21
53, 2007-02-24, 135525623.42, 572112357.09, 4001246.02, 7416036.05, 53613888.51, 82028281.96, 72866728.10
54, 2007-02-25, 129750649.24, 425065065.88, 3090921.09, 2529793.16, 67434326.57, 28787213.39, 44882346.53
55, 2007-02-26, 104463414.67, 963853040.88, 4849518.96, 6909775.76, 31005645.84, 69369047.33, 83787800.01
56, 2007-02-27, 110975354.69, 376295230.65, 1647448.73, 2530242.08, 45013988.28, 19099476.00, 55998420.48
57, 2007-02-28, 106016907.92, 778652022.47, 2111083.03, 5594267.14, 74779531.38, 13113604.16, 18317543.27
58, 2007-03-01, 142564834.99, 988902525.71, 1780237.41, 2164792.62, 59408540.03, 65477619.04, 40638810.39
59, 2007-03-02, 112839581.41, 648464782.17, 2189051.06, 6205331.30, 70641215.79, 16761832.46, 61287131.29
60, 2007-03-03, 147855239.59, 415882957.86, 4381408.90, 6872696.38, 86587128.56, 36950388.57, 42890444.42
61, 2007-03-04, 140005353.79, 566042835.05, 1707161.25, 5077412.95, 54639565.19, 19920406.69, 29572837.74
62, 2007-03-05, 108702040.61, 891092665.92, 3312297.27, 6509470.79, 72703545.07, 24362729.97, 16659400.65
63, 2007-03-06, 108172975.77, 474868751.34, 1423156.53, 6212637.67, 84671629.52, 29032931.92, 85004416.03
64, 2007-03-07, 129965838.40, 448911406.32, 2054894.62, 4019355.78, 73430915.21, 46796846.89, 65230658.39
65, 2007-03-08, 120815809.32, 375148802.29, 3844977.35, 1550672.20, 22806909.93, 85878185.33, 33659376.24
66, 2007-03-09, 103917543.93, 927152708.31, 4141148.12, 3597988.52, 41047987.11, 14708461.85, 32685016.02
67, 2007-03-10, 141845566.17, 890404003.57, 2452211.58, 7797434.89, 17644616.59, 78097666.49, 55014284.73
68, 2007-03-11, 148962809.61, 339820233.16, 2763924.51, 5530906.70, 43544000.01, 24766382.76, 80569664.48
69, 2007-03-12, 130001047.09, 786375038.83, 2892432.58, 3384173.19, 87204384.64, 47758468.12, 26403228.58
70, 2007-03-13, 148156968.85, 573935985.58, 4509757.82, 3340293.84, 61611808.67, 62220320.21, 43262564.46
71, 2007-03-14, 111085492.62, 467578443.83, 1887958.43, 8801966.67, 80614079.39, 59294720.46, 67452317.82
72, 2007-03-15, 140593603.04, 327728045.82, 2264922.11, 5595938.39, 24780536.40, 16391615.60, 70194400.27
73, 2007-03-16, 104563820.70, 994263496.92, 1634960.62, 4280440.17, 66882229.32, 39003616.95, 84826856.34
74, 2007-03-17, 139695717.97, 908684643.63, 4086658.77, 6240836.55, 60970225.06, 11706528.19, 80143498.15
75, 2007-03-18, 101385049.29, 594263557.50, 2404727.94, 4750006.22, 17685769.57, 52700407.94, 49379232.90
76, 2007-03-19, 125169129.89, 446521687.01, 2445966.57, 1426938.04, 49506780.38, 22571312.31, 78556769.35
77, 2007-03-20, 132925872.94, 446738804.71, 2794923.11, 5487620.50, 64409373.16, 51974168.47, 37726166.13
78, 2007-03-21, 125824789.48, 717436082.91, 3894856.25, 1753425.13, 65181775.81, 15026411.87, 24537510.22
79, 2007-03-22, 105374578.80, 430936628.00, 3079358.69, 7401686.62, 80829436.72, 67023217.72, 83550066.62
80, 2007-03-23, 149639994.92, 660809235.34, 3688608.64, 1163386.25, 75279627.09, 48868759.50, 68791022.00
81, 2007-03-24, 131954218.82, 916178500.13, 3136843.06, 3742487.23, 13208116.97, 53192342.86, 82458990.80
82, 2007-03-25, 136971730.27, 356312782.97, 2479785.59, 6452180.49, 89075983.63, 14239763.97, 84986784.68
83, 2007-03-26, 107047937.61, 631422751.39, 2447636.93, 8686190.10, 83227604.39, 6677.26, 59030069.45
84, 2007-03-27, 140936624.06, 841845396.55, 2115464.24, 7890031.73, 65779753.61, 29055253.75, 77714752.38
85, 2007-03-28, 111045261.18, 760240357.03, 2539101.64, 7398196.57, 12991082.95, 26339323.75, 24529267.39
86, 2007-03-29, 134893654.97, 414811456.02, 3295547.78, 8448999.50, 73214675.64, 76483758.02, 26651699.95
87, 2007-03-30, 146617649.96, 501513957.77, 1833985.25, 8547400.92, 84659675.13, 32053376.72, 57202966.57
88, 2007-03-31, 106804193.03, 542551550.67, 2472368.26, 1631894.43, 80922196.59, 67405365.05, 45961556.32
89, 2007-04-01, 133587398.30, 798087992.53, 2715962.65, 7906558.08, 75695877.05, 82949723.00, 54873638.84
90, 2007-04-02, 108461282.38, 414438873.16, 2517829.07, 4310996.14, 52837975.55, 74505876.95, 35127532.61
91, 2007-04-03, 101595307.78, 865404166.52, 3559586.71, 5789306.27, 19160140.15, 39890244.69, 11749082.34
92, 2007-04-04, 121063254.03, 591620007.85, 3514317.73, 4484882.30, 42076245.59, 29014378.30, 34237625.25
93, 2007-04-05, 108100008.36, 622298134.92, 2716755.24, 3883701.66, 22896643.65, 34989436.55, 43055106.67
94, 2007-04-06, 128764196.95, 768877769.58, 2960912.24, 6331536.14, 51705890.60, 59207892.79, 53256737.66
95, 2007-04-07, 134248217.17, 600152101.64, 3183597.41, 1484521.72, 77213349.30, 21268635.45, 60369347.02
96, 2007-04-08, 105368318.84, 802267752.11, 2074285.01, 5247308.36, 49860684.56, 64424830.30, 22606700.03
97, 2007-04-09, 125790522.97, 394818962.59, 2813216.47, 5472886.98, 67736852.12, 30804211.60, 13230390.15
98, 2007-04-10, 116225897.16, 852468851.71, 1905117.19, 6746097.21, 66855846.76, 56477131.93, 28313235.38
99, 2007-04-11, 107808732.29, 858819343.60, 2886653.73, 7321668.87, 82539114.79, 45947018.51, 14639750.49
100, 2007-04-12, 120197263.14, 602532893.20, 2028665.98, 8654785.73, 71048615.68, 19676964.69, 66648420.75
101, 2007-04-13, 124464667.20, 782612227.55, 2518220.82, 4807940.07, 64087720.21, 49017432.06, 27756159.04
102, 2007-04-14, 132389621.36, 917122177.25, 1529828.09, 6802796.03, 43818291.31, 55377003.22, 70509675.39
103, 2007-04-15, 126907057.97, 373383251.58, 3225977.90, 8604096.72, 67802799.63, 45852499.81, 76661655.57
104, 2007-04-16, 113098047.76, 814680373.30, 1427059.84, 6059247.64, 42720047.05, 65153335.80, 83517868.18
105, 2007-04-17, 150582652.07, 952385479.58, 2764986.98, 7004437.51, 42997492.10, 87598472.52, 29584993.24
106, 2007-04-18, 126244881.16, 927323546.47, 1797686.03, 2761966.81, 40133344.97, 87915283.37, 26405354.46
107, 2007-04-19, 109378858.80, 744725979.54, 3077961.69, 8595592.19, 11030994.01, 19488285.02, 33551696.49
108, 2007-04-20, 144933468.03, 971452915.11, 3156227.04, 8946930.52, 26728457.74, 61587160.01, 24811725.90
109, 2007-04-21, 112485523.43, 929808491.36, 4219882.29, 3562629.06, 79245757.10, 70896100.52, 41017753.18
110, 2007-04-22, 101558652.90, 755820407.86, 3547019.94, 7053217.12, 76502101.18, 53854987.75, 66408651.73
111, 2007-04-23, 109475360.70, 444917165.37, 2598124.44, 4643630.01, 43125878.92, 19450917.45, 42941876.88
112, 2007-04-24, 136761800.60, 737568347.20, 3922957.17, 3182002.66, 26643538.93, 41406332.91, 23816296.26
113, 2007-04-25, 132655651.79, 559094025.26, 2911480.51, 5859373.10, 59590300.57, 34161992.27, 74095605.07
114, 2007-04-26, 105319063.43, 921391815.35, 2200459.67, 8227549.82, 26884023.79, 33833930.68, 86251314.44
115, 2007-04-27, 130514739.32, 975538024.03, 2150937.40, 5651583.22, 47027439.09, 60195832.80, 71896576.71
116, 2007-04-28, 136175484.86, 715546888.96, 2670637.95, 3756060.49, 50605901.23, 26338677.88, 52889936.94
117, 2007-04-29, 140497416.13, 950854259.24, 2861327.31, 7608136.87, 86799950.20, 82412522.30, 12457982.87
118, 2007-04-30, 126670880.18, 711957648.69, 1777695.09, 6361108.13, 44688987.56, 70073520.60, 79035464.58
119, 2007-05-01, 135524189.93, 589224548.10, 1705891.65, 6691918.08, 61394487.63, 72692572.03, 10325485.50
120, 2007-05-02, 124421957.14, 536742950.52, 1926861.84, 4117484.39, 10352486.26, 56975597.64, 50684008.92
121, 2007-05-03, 11438.68, 783825177.73, 2044487.64, 3094284.70, 28807133.15, 26807299.12, 23471816.46
122, 2007-05-04, 131728493.30, 978479649.26, 3590369.97, 3040497.11, 45111117.76, 37139887.76, 32729228.45
123, 2007-05-05, 136300308.61, 760045839.64, 1262951.56, 2488315.55, 59925532.99, 56455704.53, 10847156.09
124, 2007-05-06, 148849804.46, 921760614.65, 3116041.22, 8359151.30, 19272778.24, 80243628.45, 71488739.96
125, 2007-05-07, 121892392.19, 648394640.30, 3453421.39, 1708938.89, 88701323.75, 63407756.80, 36678123.90
126, 2007-05-08, 135451093.19, 469450604.10, 1863908.17, 8856486.97, 14956654.78, 85553874.16, 19899675.81
127, 2007-05-09, 144281665.15, 594419917.38, 3543550.65, 3582359.68, 67697639.20, 64590594.68, 80788190.50
128, 2007-05-10, 118748610.01, 956965328.32, 1940514.92, 6488250.11, 77201958.95, 43152341.90, 88495054.19
129, 2007-05-11, 132108098.16, 415578931.66, 1484246.99, 2610836.87, 31574690.29, 31247527.27, 16803616.80
130, 2007-05-12, 109301155.81, 1003729020.40, 4028883.67, 1256879.29, 48654658.39, 34968608.43, 15853833.35
131, 2007-05-13, 140636813.66, 837675573.29, 2705639.11, 7023316.31, 19973024.60, 77946853.02, 57727044.07
132, 2007-05-14, 130477369.81, 434947120.03, 1710277.00, 5479162.16, 40988104.58, 72252102.20, 60315573.74
133, 2007-05-15, 126411092.18, 510481555.41, 3779508.38, 3832092.97, 15790920.81, 45684190.21, 30162365.21
134, 2007-05-16, 117893240.45, 977947616.55, 1745797.14, 4858348.60, 21608446.97, 50892485.01, 15427560.80
135, 2007-05-17, 139258079.01, 429245684.24, 3932849.30, 2910769.56, 83952205.89, 39026920.62, 50449449.86
136, 2007-05-18, 104620751.70, 952521677.08, 2700200.22, 6270595.98, 72843504.48, 80066286.95, 70980002.83
137, 2007-05-19, 149141131.92, 336291532.10, 1379984.73, 3001268.52, 11465892.34, 15102083.94, 15822232.52
138, 2007-05-20, 110961359.77, 723343003.42, 2714280.10, 2233383.30, 22466253.74, 18085266.29, 36829275.47
139, 2007-05-21, 113293640.86, 350772315.70, 2369081.44, 2556362.94, 48870067.69, 51820255.11, 20385267.50
140, 2007-05-22, 135467812.39, 432345317.43, 3077500.81, 3093782.53, 86066284.33, 24921456.72, 18126783.94
141, 2007-05-23, 132030415.83, 745304794.56, 2626161.69, 3554146.26, 25261965.84, 15861431.42, 52156967.57
142, 2007-05-24, 107589745.38, 513860643.79, 2402517.71, 6150575.61, 36942600.49, 51844391.38, 75718988.32
143, 2007-05-25, 107662062.24, 928850486.20, 4028166.09, 3218902.94, 88573566.20, 32701125.21, 31763128.02
144, 2007-05-26, 106877445.64, 602754889.39, 1974148.59, 1458362.02, 65805544.41, 43925954.03, 61673929.92
145, 2007-05-27, 127309352.22, 672162968.08, 2252960.22, 3097937.71, 27843689.27, 47329716.01, 69255875.63
146, 2007-05-28, 110221592.01, 357427626.65, 1957491.22, 1044791.73, 74925829.35, 66786402.27, 54635037.95
147, 2007-05-29, 141659357.39, 783891387.97, 2028859.74, 6905679.33, 36185144.41, 24085426.10, 24291669.84
148, 2007-05-30, 113118317.27, 488718630.17, 3415120.31, 4231363.74, 58737958.89, 84004421.86, 68360793.78
149, 2007-05-31, 127470482.21, 461765640.33, 3897910.07, 5837819.82, 60807208.35, 12127180.92, 86468775.25
150, 2007-06-01, 111967796.90, 389165721.39, 3165173.23, 7750511.01, 74876206.57, 29654003.51, 14824282.16
151, 2007-06-02, 136195205.45, 646588211.76, 2109445.61, 2225622.21, 60194083.46, 46806644.22, 15460611.61
152, 2007-06-03, 131537865.24, 985130709.80, 4384272.19, 3648706.28, 23821542.75, 58291728.17, 12590573.26
153, 2007-06-04, 146998285.19, 398200407.57, 2824251.96, 7616290.36, 11115627.94, 35058467.02, 70946792.23
154, 2007-06-05, 130117775.13, 568326237.57, 3470850.80, 2634751.82, 36367054.74, 34056340.68, 16504710.51
155, 2007-06-06, 105609255.85, 896508611.73, 0.84, 6105149.46, 86980195.38, 47414514.08, 80734160.93
156, 2007-06-07, 119341819.90, 814270911.02, 2665767.92, 4012224.25, 70989692.61, 67964890.31, 38752538.34
157, 2007-06-08, 102449900.72, 435388564.00, 3345287.95, 2527280.09, 82388118.08, 29642428.08, 71716374.29
158, 2007-06-09, 119902108.89, 960189972.21, 3589788.79, 4121000.69, 41953738.81, 26303106.04, 62404943.50
159, 2007-06-10, 130360547.10, 471348009.34, 1506414.64, 1425767.45, 59285328.12, 35062952.67, 44805071.24
160, 2007-06-11, 145982618.29, 795182717.59, 3585770.20, 1796066.00, 54650039.41, 83476218.46, 43177169.61
161, 2007-06-12, 130401478.66, 774425360.48, 1416313.74, 1925090.98, 10752256.74, 18763464.04, 21241069.59
162, 2007-06-13, 130969095.15, 637940388.78, 2994875.79, 8999161.42, 16823913.82, 16324822.77, 62559412.60
163, 2007-06-14, 106103832.87, 767978890.68, 2484801.20, 1345793.99, 84679026.39, 37158466.38, 64713414.79
164, 2007-06-15, 147896961.35, 983466445.39, 2924792.68, 4149789.01, 63530572.83, 25368464.22, 35526798.72
165, 2007-06-16, 132572994.57, 859544390.30, 1878760.15, 6137354.96, 75581317.57, 68951602.64, 10116855.48
166, 2007-06-17, 137929027.52, 779422844.80, 1512346.74, 7292366.51, 64717556.39, 52378348.18, 43398158.17
167, 2007-06-18, 149197223.92, 326187647.60, 3374439.87, 3279719.02, 13266437.80, 48718107.49, 22216684.85
168, 2007-06-19, 121861537.20, 486650321.10, 2478119.07, 7637203.66, 57670654.49, 65964215.07, 89671865.07
169, 2007-06-20, 107730155.52, 899789247.09, 1596938.81, 4312776.87, 58522639.09, 30302626.89, 16782725.20
170, 2007-06-21, 120910464.47, 418117747.67, 3795831.47, 8862241.86, 53988932.93, 72699920.02, 61035265.81
171, 2007-06-22, 140833287.50, 594652411.01, 3094988.35, 9020313.39, 82413203.01, 73745463.79, 16471004.82
172, 2007-06-23, 150165652.52, 438869890.72, 2770584.06, 4740199.48, 53047353.85, 40771550.40, 27243698.50
173, 2007-06-24, 122514364.35, 403810119.99, 4110714.72, 2818295.58, 47580505.49, 35036133.16, 79572067.22
174, 2007-06-25, 149520345.52, 383635434.55, 3090277.60, 6504949.55, 52796362.48, 89183592.34, 24015829.70
175, 2007-06-26, 112188097.15, 929002617.51, 3931788.53, 6540023.02, 40480078.03, 18608492.07, 34642843.49
176, 2007-06-27, 121703663.33, 518340438.42, 1404677.80, 2957574.25, 74216959.42, 79497335.19, 45839283.32
177, 2007-06-28, 139749407.16, 948357614.65, 2322538.44, 4256664.38, 55962059.95, 19083154.36, 68022867.93
178, 2007-06-29, 148391293.13, 490617460.99, 2977326.16, 5171000.27, 34073900.82, 66420984.86, 67900588.61
179, 2007-06-30, 104962336.79, 701139804.05, 1531370.99, 5725036.30, 21302018.57, 77106176.53, 26955882.55
180, 2007-07-01, 115411154.03, 988653252.29, 2819720.43, 8987800.43, 18517436.16, 75617013.36, 28433738.53
181, 2007-07-02, 119516801.78, 495029488.44, 3761348.71, 1375118.65, 18138553.28, 44911464.96, 30867370.91
182, 2007-07-03, 143857831.19, 712137678.80, 4365173.34, 1927715.99, 48211182.43, 32912154.54, 55209865.83
183, 2007-07-04, 145888204.15, 869243506.29, 2684966.13, 6648727.13, 16323304.93, 35274972.48, 89614227.26
184, 2007-07-05, 102307877.14, 559777351.05, 3511319.76, 5168360.80, 47385205.31, 72422481.50, 54751759.14
185, 2007-07-06, 118475204.19, 691858204.45, 2207061.86, 3899319.83, 39977596.01, 22099869.51, 51069466.36
186, 2007-07-07, 118653923.11, 621818060.70, 3898784.60, 3437247.21, 64122380.38, 54460616.18, 36442222.96
187, 2007-07-08, 136803660.49, 892439908.47, 2510155.66, 1065962.72, 13643554.57, 25785595.51, 18375988.06
188, 2007-07-09, 137079913.69, 663964886.07, 3222655.19, 2515338.97, 54216988.58, 42108611.59, 16594213.34
189, 2007-07-10, 103194406.54, 901695313.12, 4298507.18, 7264310.30, 14808556.54, 40756943.73, 43981142.08
190, 2007-07-11, 149051463.14, 446742496.65, 3419646.07, 2070065.87, 47943910.61, 87176164.83, 22197526.74
191, 2007-07-12, 124836472.69, 733226413.16, 3731794.75, 6577824.71, 81392229.41, 82324801.39, 59992678.22
192, 2007-07-13, 138115419.06, 524514444.55, 2851945.00, 6146970.53, 87301390.28, 32798276.51, 23206923.44
193, 2007-07-14, 147697984.97, 556806542.04, 2629668.07, 2040257.13, 67337649.18, 51826763.12, 62212680.99
194, 2007-07-15, 103390185.34, 485403382.70, 3545861.64, 1278869.74, 11673313.81, 73109049.47, 37064374.66
195, 2007-07-16, 108219641.83, 964251779.21, 2253589.76, 4976019.04, 58160509.24, 43467457.27, 54446124.23
196, 2007-07-17, 108927541.96, 604697123.79, 3258807.49, 5700368.73, 71939041.82, 29664238.09, 34852327.65
197, 2007-07-18, 118020190.53, 840004776.47, 2804391.35, 7162881.74, 33283599.07, 61260659.62, 70923192.93
198, 2007-07-19, 103456982.91, 410263560.87, 3168209.72, 1882348.53, 47741816.97, 58073967.41, 70004183424.76
199, 2007-07-20, 120656547.48, 762366210.98, 4094708.36, 2738610.21, 30524201.24, 32164915.14, 11676733.75
200, 2007-07-21, 137833790.32, 471526147.95, 4034166.82, 3485491.14, 64172461.35, 88379661.06, 87857147.30
201, 2007-07-22, 149121187.18, 928447309.75, 2491258.82, 5247855.23, 66690403.06, 57707772.13, 23208739.99
202, 2007-07-23, 126646779.84, 485641395.59, 1624574.57, 7308253.38, 11488708.88, 40283069.18, 62324447.96
203, 2007-07-24, 148211079.30, 594832181.68, 3447593.84, 1140747.99, 51487720.32, 34778650.94, 62401415.05
204, 2007-07-25, 103046369.30, 720196035.80, 3609786.51, 2553083.37, 15660451.09, 59035801.72, 68765752.87
205, 2007-07-26, 130044581.15, 569159699.97, 4086472.63, 4953840.47, 73846929.53, 23707915.62, 80808286.96
206, 2007-07-27, 145987695.33, 597299731.05, 3743336.62, 6867913.39, 89748930.55, 39021727.42, 80140308.94
207, 2007-07-28, 131413248.67, 693115294.50, 3389449.70, 4624722.16, 82983179.11, 38336927.12, 84593545.82
208, 2007-07-29, 137759118.03, 972276258.44, 2431506.43, 8229402.67, 53581268.97, 47029258.85, 51429692.34
209, 2007-07-30, 151281723.29, 346219420.63, 2469576.44, 7740286.79, 40218436.01, 54632255.84, 17507602.51
210, 2007-07-31, 121685269.73, 687820042.46, 2492992.46, 1699422.87, 65092322.60, 66185753.62, 62489987.35
211, 2007-08-01, 136492888.61, 833180045.76, 3621795.72, 5917394.25, 78025174.09, 33559009.10, 33405066.90
212, 2007-08-02, 129306738.51, 955770847.99, 3251238.74, 2374075.84, 28447977.71, 30156103.07, 77721291.69
213, 2007-08-03, 143740144.63, 841356409.84, 2777113.28, 6537137.06, 16362724.18, 64841030.88, 64224855.07
214, 2007-08-04, 120345913.83, 461797698.77, 2195433.16, 4841477.00, 32479036.43, 89087690.81, 22525398.44
215, 2007-08-05, 151611621.98, 1002686246.09, 2426903.18, 2366956.73, 83859738.86, 16344233.26, 67252745.81
216, 2007-08-06, 147384525.58, 949992147.41, 2390417.90, 8536160.38, 38775656.53, 40837145.11, 36166774.93
217, 2007-08-07, 105758049.19, 914053479.16, 2268422.83, 1782374.82, 54954551.19, 52260891.57, 73371035.06
218, 2007-08-08, 121349890.52, 627372947.80, 2905884.13, 3487617.07, 28052968.55, 79048860.96, 16747712.48
219, 2007-08-09, 102457025.51, 658704777.36, 2089378.89, 8386545.31, 32315707.01, 60714480.12, 36781865.12
220, 2007-08-10, 123185357.38, 531609368.52, 2851787.63, 8364990.50, 23725678.76, 84073442.33, 17375597.09
221, 2007-08-11, 150158631.47, 707738760.65, 2487137.97, 9012018.26, 45853393.42, 51174884.29, 66766782.59
222, 2007-08-12, 152604372.12, 480904295.72, 4043442.56, 7947841.79, 45347657.72, 41430767.17, 80062875.24
223, 2007-08-13, 136429333.05, 612948796.40, 3515121.57, 8849663.73, 36321643.19, 82822943.92, 25100891.53
224, 2007-08-14, 122149352.60, 824157956.10, 2257545.46, 6420135.59, 45442124.97, 31972399.49, 39524391.97
225, 2007-08-15, 115063645.74, 788324320.19, 3472753.55, 4259694.74, 79980738.87, 64649501.52, 66533927.19
226, 2007-08-16, 108283276.40, 863764456.90, 2860477.87, 6944600.53, 64328045.76, 24221673.76, 77987584.27
227, 2007-08-17, 150337290.30, 917599271.12, 3358078.39, 6532675.13, 41685991.84, 27115277.65, 28304096.86
228, 2007-08-18, 150263150.58, 379081863.76, 3979360.80, 1660307.94, 37573403.34, 11630690.59, 43091060.93
229, 2007-08-19, 119642045.82, 656677136.00, 3429690.12, 4717538.27, 44582485.41, 44266143.61, 43566663.78
230, 2007-08-20, 110211798.34, 887109831.02, 3560405.08, 5785042.09, 23175943.68, 49463884.14, 24692183.52
231, 2007-08-21, 124192818.05, 598871757.95, 2773406.62, 2591009.43, 12062541.86, 12532180.70, 22231540.48
232, 2007-08-22, 121094913.58, 504447269.79, 3780849.28, 8794745.13, 41779690.23, 23604471.02, 77828619.38
233, 2007-08-23, 103528670.20, 911019386.32, 3968719.02, 8899515.63, 24557502.87, 34997852.30, 57702119.30
234, 2007-08-24, 128243630.09, 455898184.11, 1991177.04, 8839633.53, 56932628.32, 54160576.32, 17297127.84
