date, own_capital, borrowed_capital, assets, lt_liabilities, current_liability, current_asset, non_current_assets, long_credits
2007-04-06, 167546564.80, 6428021.59, 90215786.77, 47303907.83, 41356955.64, 6442504.37, 83773282.40, 5946952.19
2007-04-07, 85465858.34, 5212742.41, 46392663.86, 285763064.48, 282684363.53, 3659734.69, 42732929.17, 3078700.95
2007-04-08, 112332969.52, 4518086.01, 64309900.65, 268772813.22, 265884155.58, 8143415.89, 56166484.76, 2888657.63
2007-04-09, 43925708.12, 2611981.52, 25014363.51, 50940750.24, 49280297.54, 3051509.45, 21962854.06, 1660452.71
2007-04-10, 19380044.73, 2816584.20, 14434716.95, 108502205.89, 104431082.52, 4744694.59, 9690022.37, 4071123.36
2007-04-11, 44936305.61, 8182143.50, 30608426.07, 290846939.73, 286360516.60, 8140273.26, 22468152.81, 4486423.13
2007-04-12, 154280193.90, 3547737.57, 84300767.85, 174483215.65, 170227385.54, 7160670.90, 77140096.95, 4255830.11
2007-04-13, 23535295.14, 8814241.04, 18621943.94, 204043393.65, 200030893.58, 6854296.37, 11767647.57, 4012500.07
2007-04-14, 165908734.31, 8415545.24, 86069986.70, 45561321.74, 43428947.58, 3115619.54, 82954367.16, 2132374.16
2007-04-15, 155338684.72, 5854190.31, 83465193.84, 288559933.53, 286268814.63, 5795851.48, 77669342.36, 2291118.89
2007-04-16, 135387601.10, 6405162.38, 73331449.54, 193983092.09, 190282132.82, 5637648.99, 67693800.55, 3700959.26
2007-04-17, 109772218.09, 4315122.76, 60020744.29, 91577406.87, 85862581.66, 5134635.25, 54886109.04, 5714825.21
2007-04-18, 112741235.61, 7474346.30, 64725960.11, 119631402.50, 117446617.41, 8355342.31, 56370617.80, 2184785.08
2007-04-19, 126627910.98, 3112918.33, 67692614.54, 286212316.14, 280622499.97, 4378659.05, 63313955.49, 5589816.17
2007-04-20, 88837191.95, 7204012.81, 47141212.42, 141108569.70, 137987500.18, 2722616.45, 44418595.97, 3121069.52
2007-04-21, 126465300.00, 3261278.97, 66064696.64, 340860084.26, 339583355.34, 2832046.64, 63232650.00, 1276728.92
2007-04-22, 39540520.28, 6265266.83, 24501235.94, 184537195.27, 181006838.26, 4730975.79, 19770260.14, 3530357.01
2007-04-23, 45607200.58, 8499471.73, 26566824.89, 132202017.01, 130412499.59, 3763224.60, 22803600.29, 1789517.42
2007-04-24, 30552262.99, 7274552.53, 17650059.85, 268283232.90, 264159498.82, 2373928.35, 15276131.49, 4123734.08
2007-04-25, 163855648.12, 8273118.90, 88678474.16, 95473058.09, 93643527.34, 6750650.10, 81927824.06, 1829530.75
2007-04-26, 49907165.51, 6976069.33, 29156207.18, 335897432.00, 334387570.03, 4202624.43, 24953582.75, 1509861.97
2007-04-27, 61156495.82, 3586285.10, 35537581.95, 173013970.27, 169359062.03, 4959334.04, 30578247.91, 3654908.23
2007-04-28, 81612155.71, 4556925.61, 43620864.57, 220435900.11, 215229498.29, 2814786.72, 40806077.85, 5206401.82
2007-04-29, 43207648.71, 8728762.78, 28979895.97, 241323435.66, 236185319.20, 7376071.61, 21603824.36, 5138116.46
2007-04-30, 118240558.41, 3292645.05, 66139965.04, 174050812.46, 169120329.61, 7019685.84, 59120279.20, 4930482.85
2007-05-01, 161044772.49, 7416139.78, 87059979.31, 295652184.27, 291048372.27, 6537593.07, 80522386.24, 4603812.00
2007-05-02, 99900526.46, 5364979.96, 57164579.80, 137079071.14, 132537467.27, 7214316.57, 49950263.23, 4541603.87
2007-05-03, 82299293.89, 3945457.11, 49430173.30, 100622616.63, 99105391.05, 8280526.35, 41149646.95, 1517225.59
2007-05-04, 134785213.79, 3561570.12, 70986315.87, 256982939.22, 252328597.89, 3593708.97, 67392606.90, 4654341.33
2007-05-05, 154371985.03, 6394310.53, 85540024.34, 250918610.49, 249146318.85, 8354031.82, 77185992.52, 1772291.64
2007-05-06, 13888929.74, 8190011.02, 12678973.70, 377982598.74, 374259545.30, 5734508.83, 6944464.87, 3723053.44
2007-05-07, 156683284.14, 4585057.86, 81889416.83, 233303352.53, 229875353.75, 3547774.76, 78341642.07, 3427998.78
2007-05-08, 137877387.53, 6232396.96, 75486370.04, 72366101.71, 68143873.07, 6547676.27, 68938693.77, 4222228.64
2007-05-09, 83653402.58, 7016764.72, 44155274.27, 70437220.04, 66111405.83, 2328572.98, 41826701.29, 4325814.21
2007-05-10, 167366883.53, 7738121.66, 88050385.28, 262782041.73, 257533202.52, 4366943.51, 83683441.77, 5248839.21
2007-05-11, 85404519.58, 8048279.66, 48743248.58, 121248446.22, 118566263.69, 6040988.79, 42702259.79, 2682182.53
2007-05-12, 67072557.33, 6683955.34, 38775795.63, 79114856.74, 77430260.74, 5239516.97, 33536278.66, 1684596.00
2007-05-13, 15241788.68, 4358948.64, 14060140.40, 38834673.94, 37313053.29, 6439246.06, 7620894.34, 1521620.65
2007-05-14, 94432495.47, 8464635.82, 49798635.49, 275431702.63, 273182762.93, 2582387.75, 47216247.73, 2248939.70
2007-05-15, 160642660.95, 8340497.03, 88836959.07, 41699379.10, 39982935.26, 8515628.59, 80321330.48, 1716443.85
2007-05-16, 136647539.57, 7421417.98, 72013549.65, 270232712.06, 268008728.97, 3689779.86, 68323769.79, 2223983.10
2007-05-17, 163424641.17, 4031506.76, 85833818.70, 445968827.83, 444357314.30, 4121498.11, 81712320.59, 1611513.53
2007-05-18, 159149012.58, 5940331.19, 86368323.20, 60465781.82, 56674004.47, 6793816.91, 79574506.29, 3791777.35
2007-05-19, 154141890.04, 4262516.52, 80286691.81, 129881975.16, 126544913.82, 3215746.80, 77070945.02, 3337061.34
2007-05-20, 20166564.00, 8052490.50, 13573559.37, 194364596.81, 189243380.71, 3490277.37, 10083282.00, 5121216.10
2007-05-21, 151762802.25, 6469880.54, 83170298.00, 229086630.97, 224313294.39, 7288896.88, 75881401.13, 4773336.58
2007-05-22, 126280509.03, 5973788.92, 67548405.27, 246471449.91, 241611292.52, 4408150.75, 63140254.52, 4860157.39
2007-05-23, 135367240.68, 3718079.02, 75182931.58, 253371672.48, 250545469.97, 7499311.24, 67683620.34, 2826202.51
2007-05-24, 155701664.59, 3024932.02, 82826208.20, 143665734.28, 140996708.25, 4975375.90, 77850832.30, 2669026.03
2007-05-25, 25529005.57, 7417509.53, 21014009.16, 167100910.49, 161974915.10, 8249506.38, 12764502.79, 5125995.39
2007-05-26, 74609298.09, 6632446.20, 43366600.91, 94780752.47, 89736525.35, 6061951.87, 37304649.05, 5044227.12
2007-05-27, 87033815.58, 3002123.65, 50806522.56, 21145655.47, 16023076.23, 7289614.77, 43516907.79, 5122579.23
2007-05-28, 24865269.45, 4110790.75, 16652671.85, 358298047.85, 352671206.24, 4220037.12, 12432634.72, 5626841.60
2007-05-29, 46524462.60, 7290900.44, 27272435.92, 167797139.37, 162688274.34, 4010204.62, 23262231.30, 5108865.04
2007-05-30, 45987928.56, 5483196.35, 29549981.88, 302215228.45, 298918161.40, 6556017.61, 22993964.28, 3297067.05
2007-05-31, 144160279.29, 3778801.89, 78795820.42, 175612679.70, 171671797.03, 6715680.77, 72080139.65, 3940882.66
2007-06-01, 100809202.78, 7107711.19, 55517060.19, 10080756.36, 7339978.87, 5112458.79, 50404601.39, 2740777.49
2007-06-02, 96518993.14, 6907351.05, 55925887.16, 467123513.76, 462383435.21, 7666390.59, 48259496.57, 4740078.55
2007-06-03, 165056444.69, 5199590.63, 87519837.28, 359571473.43, 354295566.50, 4991614.93, 82528222.35, 5275906.92
2007-06-04, 40486464.36, 7126208.93, 26201201.10, 11287167.98, 8679652.77, 5957968.92, 20243232.18, 2607515.21
2007-06-05, 163709171.14, 4549720.98, 87021656.68, 497093016.01, 492567087.29, 5167071.11, 81854585.57, 4525928.72
2007-06-06, 170367896.55, 3445584.58, 87799473.55, 317555770.54, 312102802.51, 2615525.28, 85183948.27, 5452968.03
2007-06-07, 123251320.31, 4954582.71, 67840552.32, 129982835.60, 125915219.79, 6214892.17, 61625660.15, 4067615.81
2007-06-08, 139935429.66, 5597918.23, 75107238.11, 161233690.50, 159629974.45, 5139523.28, 69967714.83, 1603716.04
2007-06-09, 55653682.25, 6785627.93, 30589350.53, 317631352.11, 315084933.47, 2762509.40, 27826841.12, 2546418.64
2007-06-10, 119155209.15, 8290496.23, 62665600.20, 249006163.08, 245517406.32, 3087995.62, 59577604.58, 3488756.77
2007-06-11, 104850726.83, 2642420.55, 58948291.25, 40246535.80, 36832029.32, 6522927.84, 52425363.41, 3414506.48
2007-06-12, 35256654.65, 3909683.16, 21503465.34, 118616555.37, 114316958.66, 3875138.02, 17628327.32, 4299596.71
2007-06-13, 119662839.02, 7769440.21, 62966512.26, 28069462.15, 22542250.83, 3135092.74, 59831419.51, 5527211.31
2007-06-14, 23311017.83, 6396485.57, 16376839.02, 391106806.02, 388816953.41, 4721330.10, 11655508.92, 2289852.61
2007-06-15, 93535008.32, 7029927.65, 53999467.40, 359228557.82, 354417594.41, 7231963.24, 46767504.16, 4810963.41
2007-06-16, 17047025.28, 6828131.83, 12271125.01, 357779433.26, 354358147.44, 3747612.37, 8523512.64, 3421285.82
2007-06-17, 160434682.67, 8159737.49, 85681068.90, 498825066.69, 496484216.45, 5463727.56, 80217341.34, 2340850.24
2007-06-18, 106520824.97, 5495436.38, 61132835.87, 78630516.49, 75203419.34, 7872423.38, 53260412.48, 3427097.15
2007-06-19, 73613158.54, 6097622.74, 41051224.97, 75064286.57, 70538159.75, 4244645.70, 36806579.27, 4526126.82
2007-06-20, 171023045.71, 3214908.80, 93683084.13, 446200161.38, 444294829.67, 8171561.27, 85511522.85, 1905331.71
2007-06-21, 56167867.94, 7768070.84, 35718099.23, 491007643.29, 487774055.53, 7634165.26, 28083933.97, 3233587.76
2007-06-22, 29682606.03, 3450326.57, 22594870.94, 91535334.74, 89308853.32, 7753567.93, 14841303.01, 2226481.42
2007-06-23, 134766851.35, 4636974.78, 72449714.73, 443171879.55, 438734678.21, 5066289.06, 67383425.68, 4437201.34
2007-06-24, 161908337.77, 6623516.67, 86565464.73, 570622430.25, 568757098.55, 5611295.84, 80954168.89, 1865331.70
2007-06-25, 109052802.22, 8197925.69, 60088786.84, 84491506.59, 80065990.99, 5562385.73, 54526401.11, 4425515.60
2007-06-26, 166561142.52, 5021687.77, 87704408.21, 142636100.03, 138668585.00, 4423836.95, 83280571.26, 3967515.03
2007-06-27, 72335299.46, 2680735.68, 42569841.68, 329199974.66, 324862603.74, 6402191.95, 36167649.73, 4337370.91
2007-06-28, 70495175.92, 3561615.53, 40938979.00, 55946059.27, 52217405.87, 5691391.04, 35247587.96, 3728653.40
2007-06-29, 59069936.00, 2880481.91, 32313171.04, 158571938.23, 156255285.02, 2778203.04, 29534968.00, 2316653.20
2007-06-30, 73215897.19, 5927576.69, 42932576.24, 519613242.51, 514337304.91, 6324627.64, 36607948.60, 5275937.61
2007-07-01, 26428072.12, 7466804.12, 19156516.48, 510398122.98, 505615459.26, 5942480.42, 13214036.06, 4782663.72
2007-07-02, 28982329.57, 5421197.17, 22540214.23, 75858426.62, 72580694.61, 8049049.44, 14491164.79, 3277732.01
2007-07-03, 56395799.13, 6559888.73, 33836592.44, 202195220.43, 200044966.19, 5638692.88, 28197899.56, 2150254.23
2007-07-04, 69304262.39, 4809861.62, 40829502.19, 556579014.35, 553280248.86, 6177371.00, 34652131.19, 3298765.49
2007-07-05, 112258524.10, 7917699.04, 61013193.68, 447331500.29, 444698797.81, 4883931.63, 56129262.05, 2632702.48
2007-07-06, 147490256.77, 5867264.22, 77673440.74, 460759977.20, 456060488.14, 3928312.36, 73745128.38, 4699489.06
2007-07-07, 148221525.45, 5597095.05, 79355227.73, 414993763.91, 411775903.95, 5244465.00, 74110762.73, 3217859.95
2007-07-08, 76434578.83, 6432582.88, 44074081.13, 65587788.74, 62531507.41, 5856791.71, 38217289.42, 3056281.32
2007-07-09, 47261810.45, 6550519.74, 27879688.94, 433449148.70, 430183490.73, 4248783.72, 23630905.22, 3265657.97
2007-07-10, 73795866.77, 7149482.12, 44406327.47, 175981897.39, 173900041.04, 7508394.08, 36897933.39, 2081856.35
2007-07-11, 72263844.16, 4188594.75, 39647907.91, 235209085.02, 230978188.59, 3515985.83, 36131922.08, 4230896.43
2007-07-12, 101221714.10, 3838631.81, 53730076.39, 99608940.83, 94361359.06, 3119219.34, 50610857.05, 5247581.77
2007-07-13, 100783621.76, 6192574.34, 54148928.65, 626302172.77, 623147291.73, 3757117.77, 50391810.88, 3154881.03
2007-07-14, 137961836.51, 4649809.57, 74949065.22, 502509571.01, 499087769.14, 5968146.96, 68980918.26, 3421801.88
2007-07-15, 165683454.45, 4686669.29, 88498768.58, 479715455.98, 477569977.60, 5657041.35, 82841727.22, 2145478.38
2007-07-16, 75795411.12, 7604075.95, 44207576.74, 384281802.41, 381885369.54, 6309871.18, 37897705.56, 2396432.87
2007-07-17, 81577887.06, 5062748.81, 47276978.58, 176074059.62, 172575172.68, 6488035.05, 40788943.53, 3498886.94
2007-07-18, 159488219.79, 2952486.12, 86238424.76, 443342770.53, 439768314.49, 6494314.87, 79744109.90, 3574456.03
2007-07-19, 146466858.29, 4082858.41, 79055423.26, 347718374.93, 344207239.43, 5821994.12, 73233429.15, 3511135.49
2007-07-20, 37690749.65, 6477848.46, 26417586.04, 314182053.88, 310075168.60, 7572211.21, 18845374.83, 4106885.27
2007-07-21, 15339423.60, 6112553.19, 13183888.86, 256613700.89, 252189438.48, 5514177.06, 7669711.80, 4424262.41
2007-07-22, 25383970.68, 3008952.89, 20279680.91, 68295182.66, 64872744.46, 7587695.57, 12691985.34, 3422438.20
2007-07-23, 100556439.38, 5360234.02, 54373065.32, 118762779.89, 116250110.51, 4094845.63, 50278219.69, 2512669.37
2007-07-24, 130954044.77, 4640386.10, 70383971.28, 584235561.51, 579232453.11, 4906948.90, 65477022.39, 5003108.41
2007-07-25, 103529961.60, 4151218.09, 57650606.20, 675346042.80, 671330208.00, 5885625.40, 51764980.80, 4015834.80
2007-07-26, 151944803.60, 4482661.44, 83232085.72, 577376397.03, 572362655.78, 7259683.92, 75972401.80, 5013741.25
2007-07-27, 114495885.21, 4515269.92, 61912337.72, 599443096.04, 594222833.81, 4664395.12, 57247942.61, 5220262.22
2007-07-28, 53600982.35, 6154250.66, 33134246.40, 593761086.90, 590627542.75, 6333755.22, 26800491.18, 3133544.15
2007-07-29, 33162170.60, 7539360.44, 19831810.69, 637231603.22, 633521602.77, 3250725.39, 16581085.30, 3710000.46
2007-07-30, 163469225.31, 5464082.32, 87797474.87, 266617874.28, 261662152.73, 6062862.22, 81734612.65, 4955721.55
2007-07-31, 63024254.12, 4812707.60, 35574196.58, 430615260.01, 426820704.94, 4062069.53, 31512127.06, 3794555.06
2007-08-01, 64477149.67, 5218854.40, 35338186.59, 639834052.07, 635083946.17, 3099611.75, 32238574.83, 4750105.90
2007-08-02, 95955042.18, 6597581.97, 53030433.59, 581072997.39, 576638231.29, 5052912.50, 47977521.09, 4434766.10
2007-08-03, 151648648.67, 7660325.61, 79347068.60, 266965154.87, 261939382.56, 3522744.26, 75824324.34, 5025772.31
2007-08-04, 91313915.93, 4911813.30, 52222276.24, 248173361.74, 245942063.58, 6565318.27, 45656957.96, 2231298.15
2007-08-05, 67530768.31, 3646896.24, 40164420.06, 518240295.29, 513641200.25, 6399035.91, 33765384.16, 4599095.04
2007-08-06, 18721710.28, 5041157.49, 14971879.28, 603497069.96, 598985803.43, 5611024.14, 9360855.14, 4511266.53
2007-08-07, 72891292.63, 3117845.32, 40438864.08, 490689735.32, 486289122.21, 3993217.77, 36445646.32, 4400613.11
2007-08-08, 67012249.71, 4075097.53, 40574541.90, 526277447.27, 522394229.46, 7068417.04, 33506124.85, 3883217.81
2007-08-09, 163547995.51, 7638286.10, 86821099.32, 416381479.08, 414340697.10, 5047101.56, 81773997.76, 2040781.97
