id, birth_date, hiring_date, dismissal_date, sex, qualification, salary, working_hours, missed_hours
759731892, 1969-02-08, 2007-01-05, 2016-01-10, 0, 0, 107716.93, 16292, 86
548423351, 1982-03-06, 2007-01-09, 0, 0, 5, 46222.00, 7861, 34
536658418, 1980-06-10, 2007-01-09, 0, 1, 9, 221528.31, 4804, 32
100507730, 1972-04-20, 2007-01-07, 2010-05-22, 1, 7, 147713.51, 6083, 41
514121939, 1959-07-07, 2007-01-01, 0, 1, 2, 77890.27, 11892, 93
688580410, 1965-09-15, 2007-01-03, 0, 1, 5, 332924.60, 5471, 71
478205966, 1956-09-08, 2007-01-05, 2009-02-26, 0, 0, 129962.48, 3841, 54
531313377, 1973-01-29, 2007-01-02, 0, 0, 9, 82091.13, 10845, 85
352929181, 1981-01-21, 2007-01-09, 0, 1, 0, 81073.30, 17539, 93
299327669, 1982-04-21, 2007-01-01, 0, 1, 2, 430685.47, 595, 86
518766544, 1948-09-26, 2007-01-09, 2012-05-08, 0, 7, 481327.51, 9580, 102
142369397, 1971-06-11, 2007-01-10, 2011-12-27, 1, 9, 180921.18, 8870, 145
236901497, 1969-07-18, 2007-01-10, 2014-06-29, 1, 8, 104227.87, 13453, 114
988201725, 1952-08-09, 2007-01-09, 2015-11-04, 1, 7, 174730.86, 15946, 79
834516772, 1977-06-23, 2007-01-09, 2007-08-26, 0, 3, 295833.33, 1019, 120
459145592, 1970-01-28, 2007-01-06, 0, 1, 1, 194638.37, 13484, 123
589593187, 1972-01-07, 2007-01-05, 2007-03-14, 1, 7, 191710.36, 283, 55
643938654, 1961-11-22, 2007-01-05, 0, 0, 4, 397911.14, 5670, 86
886129633, 1946-07-22, 2007-01-05, 0, 0, 9, 60970.04, 6713, 23
148527201, 1974-11-16, 2007-01-03, 0, 1, 1, 47563.90, 523, 79
524285622, 1955-12-15, 2007-01-08, 0, 1, 6, 156194.71, 2500, 62
775102858, 1965-08-25, 2007-01-03, 2013-04-27, 0, 2, 194093.61, 11393, 80
323978611, 1982-05-04, 2007-01-02, 2008-05-01, 0, 4, 69674.74, 2272, 141
231346913, 1979-01-24, 2007-01-10, 2014-11-08, 0, 5, 155695.30, 14154, 70
736933459, 1967-01-04, 2007-01-08, 2009-02-17, 1, 8, 130201.87, 3778, 57
428861533, 1970-10-02, 2007-01-09, 2018-05-10, 1, 4, 149460.36, 20459, 133
510106572, 1939-12-09, 2007-01-01, 0, 1, 0, 239370.42, 3274, 79
594722192, 1973-07-13, 2007-01-02, 2010-05-26, 1, 2, 189129.82, 6076, 93
684360458, 1973-05-29, 2007-01-05, 0, 0, 4, 160830.76, 3619, 52
439873951, 1975-11-11, 2007-01-04, 2009-09-30, 1, 4, 59513.95, 4909, 66
902195450, 1985-12-11, 2007-01-03, 0, 0, 9, 249128.15, 1514, 48
174269794, 1977-10-29, 2007-01-03, 2012-04-23, 1, 9, 226836.30, 9605, 32
491146814, 1982-08-10, 2007-01-03, 2017-12-07, 1, 1, 226914.94, 19739, 117
456837386, 1962-12-11, 2007-01-04, 2015-04-14, 1, 8, 125861.73, 14954, 81
152600615, 1978-07-10, 2007-01-02, 0, 0, 4, 190083.93, 4421, 71
853249200, 1978-12-31, 2007-01-03, 0, 0, 7, 144466.95, 14809, 47
318253185, 1974-01-08, 2007-01-04, 0, 0, 3, 131643.48, 875, 105
550997306, 1964-01-14, 2007-01-04, 0, 1, 8, 192539.89, 14956, 84
349322148, 1982-08-26, 2007-01-09, 2010-04-28, 1, 9, 207163.22, 5870, 125
192740863, 1976-07-13, 2007-01-09, 0, 1, 3, 62599.23, 784, 31
729287813, 1972-02-10, 2007-01-07, 2012-09-03, 0, 0, 122705.44, 10266, 13
345643344, 1978-05-12, 2007-01-04, 2007-06-01, 0, 7, 201303.94, 622, 114
812540675, 1984-05-29, 2007-01-10, 0, 0, 4, 40255.71, 7074, 100
986163787, 1963-09-29, 2007-01-05, 2009-05-02, 0, 8, 222563.57, 4152, 67
836535739, 1962-03-06, 2007-01-08, 2011-06-11, 1, 4, 150906.42, 7913, 122
746639482, 1971-12-14, 2007-01-09, 2008-01-16, 1, 7, 261973.28, 1815, 35
519757666, 1985-03-22, 2007-01-03, 2010-09-11, 0, 1, 61543.84, 6610, 91
622116147, 1974-04-25, 2007-01-04, 2008-01-09, 0, 0, 114572.61, 1804, 36
613739469, 1982-04-25, 2007-01-07, 0, 0, 2, 167657.47, 13126, 93
187146184, 1983-04-18, 2007-01-04, 2009-08-31, 0, 6, 71146.64, 4772, 54
662441724, 1970-02-01, 2007-01-05, 0, 1, 0, 97158.93, 12285, 83
531306315, 1984-04-05, 2007-01-10, 2011-12-01, 1, 5, 148812.62, 8813, 72
475121233, 1984-05-15, 2007-01-01, 0, 0, 9, 68729.25, 12686, 65
807511419, 1975-04-30, 2007-01-03, 2008-01-24, 1, 0, 160515.87, 1841, 79
564495255, 1939-12-14, 2007-01-02, 0, 0, 0, 230125.86, 1396, 66
844679804, 1944-08-11, 2007-01-05, 2016-02-01, 0, 3, 69993.78, 16427, 61
726101409, 1946-04-03, 2007-01-02, 2012-09-07, 0, 5, 59340.95, 10311, 12
188203323, 1956-03-20, 2007-01-10, 2008-02-19, 1, 6, 86095.28, 1939, 76
621903452, 1985-06-17, 2007-01-03, 0, 1, 0, 233723.76, 3147, 57
698587870, 1983-06-21, 2007-01-09, 2012-08-07, 0, 6, 90835.23, 10096, 38
584837554, 1976-06-25, 2007-01-08, 0, 1, 8, 377007.22, 3980, 94
201443586, 1954-01-24, 2007-01-03, 0, 1, 8, 180970.97, 5092, 7
522722858, 1985-07-20, 2007-01-04, 0, 0, 1, 72164.00, 20508, 119
471145782, 1976-07-05, 2007-01-09, 2008-03-16, 0, 2, 116367.31, 2050, 99
272539845, 1968-05-19, 2007-01-08, 2008-10-03, 1, 4, 58313.65, 3095, 59
426299679, 1978-01-27, 2007-01-06, 0, 1, 6, 252594.16, 904, 41
689869251, 1979-12-13, 2007-01-02, 0, 1, 4, 79620.92, 14867, 9
169644389, 1966-11-26, 2007-01-04, 0, 0, 6, 132641.15, 10073, 66
977436523, 1980-07-04, 2007-01-09, 0, 0, 2, 105193.54, 7923, 87
194285454, 1974-07-16, 2007-01-01, 2013-06-12, 0, 6, 66306.29, 11685, 26
516373634, 1975-07-19, 2007-01-04, 2008-07-28, 0, 0, 317169.77, 2819, 21
838844335, 1955-11-17, 2007-01-02, 0, 0, 9, 50267.21, 10698, 18
886103501, 1984-10-18, 2007-01-07, 2010-08-09, 1, 9, 353590.37, 6485, 32
656126114, 1960-08-09, 2007-01-04, 0, 1, 3, 220607.91, 4975, 129
695248876, 1957-04-24, 2007-01-03, 0, 0, 0, 46925.18, 8448, 104
100578778, 1985-08-19, 2007-01-03, 2017-02-25, 1, 0, 296132.90, 18369, 69
605776726, 1975-02-11, 2007-01-03, 0, 1, 5, 233037.22, 15152, 87
297982189, 1958-04-17, 2007-01-07, 2016-04-05, 1, 0, 95661.19, 16680, 116
318306997, 1953-01-31, 2007-01-04, 2010-02-06, 0, 4, 158088.18, 5599, 18
360277159, 1976-03-29, 2007-01-01, 0, 1, 7, 245954.98, 1836, 124
239453452, 1967-11-09, 2007-01-06, 0, 1, 4, 98009.47, 20404, 34
890463436, 1948-09-29, 2007-01-06, 2008-06-02, 1, 3, 240329.76, 2495, 57
118978185, 1961-11-26, 2007-01-01, 0, 0, 9, 55714.30, 11463, 35
383166295, 1970-02-19, 2007-01-02, 0, 1, 3, 353385.03, 1821, 109
838109288, 1968-05-15, 2007-01-06, 2015-11-13, 0, 3, 405965.87, 16050, 35
262838609, 1985-01-24, 2007-01-10, 2012-08-08, 0, 8, 443902.88, 10101, 33
580292133, 1964-09-26, 2007-01-10, 0, 0, 0, 199626.58, 5629, 22
202962778, 1977-06-28, 2007-01-04, 0, 0, 5, 221519.72, 5064, 50
655992627, 1975-01-31, 2007-01-10, 2007-06-28, 1, 0, 256578.59, 795, 45
536854783, 1948-07-06, 2007-01-03, 0, 1, 5, 83407.99, 5126, 73
969893582, 1952-11-03, 2007-01-05, 0, 0, 2, 185474.66, 1675, 56
144506980, 1952-01-30, 2007-01-08, 0, 1, 3, 161787.49, 3167, 126
704120225, 1976-10-05, 2007-01-02, 2010-01-18, 0, 5, 281946.44, 5503, 29
321963541, 1979-08-02, 2007-01-02, 2009-06-15, 1, 3, 285340.68, 4402, 50
458270994, 1966-03-11, 2007-01-06, 2010-07-15, 1, 6, 44298.06, 6348, 50
915528128, 1968-01-30, 2007-01-03, 2007-05-12, 0, 0, 193336.00, 602, 39
122490317, 1962-02-09, 2007-01-09, 2009-04-29, 0, 6, 178336.44, 4113, 71
114400207, 1988-10-10, 2007-01-01, 0, 0, 4, 378092.35, 20084, 36
237933780, 1966-09-20, 2007-01-06, 2007-07-10, 1, 5, 156482.38, 854, 66
666210700, 1956-12-11, 2007-01-01, 2007-07-09, 1, 1, 74074.71, 926, 14
746242528, 1977-03-14, 2007-01-07, 2009-09-01, 1, 8, 294204.89, 4712, 104
376604130, 1959-04-21, 2007-01-07, 2008-10-09, 0, 7, 187060.97, 3113, 76
653166918, 1979-09-04, 2007-01-09, 0, 0, 6, 293567.36, 6157, 82
569573813, 1955-03-17, 2007-01-08, 2008-03-09, 1, 8, 281849.22, 2065, 54
537375134, 1980-08-30, 2007-01-01, 0, 0, 7, 167446.11, 2698, 68
520899200, 1981-03-14, 2007-01-01, 0, 1, 1, 353281.47, 15600, 17
782331264, 1951-08-28, 2007-01-01, 0, 0, 9, 216976.23, 4742, 138
593705849, 1950-01-05, 2007-01-01, 2014-12-14, 0, 3, 32885.07, 14332, 116
707456854, 1974-03-07, 2007-01-07, 0, 0, 4, 436799.39, 1643, 68
291180756, 1976-01-10, 2007-01-08, 0, 0, 7, 267414.14, 5815, 36
402258702, 1952-04-17, 2007-01-07, 0, 0, 1, 71459.52, 12686, 85
141690669, 1961-12-27, 2007-01-05, 0, 1, 1, 342466.36, 11040, 10
184802537, 1966-09-29, 2007-01-03, 0, 1, 9, 337001.88, 14018, 37
209682146, 1949-10-30, 2007-01-07, 0, 0, 9, 103128.03, 8417, 46
598754596, 1980-07-15, 2007-01-03, 2007-06-07, 1, 6, 70825.67, 737, 34
235836276, 1970-10-13, 2007-01-07, 2009-08-05, 0, 1, 260955.78, 4583, 98
356763904, 1984-04-05, 2007-01-10, 0, 0, 0, 325196.60, 7370, 83
401885739, 1980-08-07, 2007-01-09, 2009-09-08, 0, 2, 331497.12, 4795, 46
127102429, 1960-12-10, 2007-01-06, 0, 0, 6, 192778.76, 5551, 41
728595624, 1951-12-10, 2007-01-10, 0, 0, 3, 58475.39, 4679, 17
906503919, 1955-08-10, 2007-01-04, 2015-04-13, 0, 6, 124538.14, 14929, 101
418302217, 1951-11-18, 2007-01-01, 0, 0, 0, 231727.71, 9829, 47
743682148, 1961-07-11, 2007-01-09, 2009-08-11, 1, 2, 66868.03, 4628, 73
107122250, 1951-10-03, 2007-01-07, 2008-04-04, 1, 0, 160165.91, 2128, 125
783515819, 1979-06-15, 2007-01-03, 2009-06-10, 1, 9, 346887.13, 4366, 57
694371455, 1975-05-22, 2007-01-03, 2012-05-23, 0, 8, 261239.36, 9772, 14
691654588, 1960-11-23, 2007-01-07, 2010-11-23, 0, 5, 204408.05, 7011, 34
859483249, 1960-12-29, 2007-01-07, 2009-08-23, 0, 7, 48626.14, 4728, 43
672526500, 1980-04-15, 2007-01-10, 2007-06-17, 1, 1, 189891.61, 742, 44
701631696, 1965-02-20, 2007-01-05, 2009-03-10, 0, 8, 132037.89, 3869, 86
332802899, 1985-02-13, 2007-01-02, 0, 1, 7, 46425.82, 4092, 27
148834266, 1983-05-31, 2007-01-03, 2013-10-10, 0, 8, 359969.62, 12213, 86
605331974, 1968-05-28, 2007-01-01, 0, 0, 3, 136387.37, 15086, 53
318368793, 1970-06-08, 2007-01-04, 2014-04-23, 0, 4, 35344.24, 13201, 63
642206306, 1954-03-25, 2007-01-03, 0, 1, 0, 143257.47, 12519, 43
504342628, 1968-10-16, 2007-01-05, 0, 1, 3, 228410.80, 514, 33
338681991, 1965-09-23, 2007-01-01, 2015-12-19, 1, 2, 97580.47, 16225, 64
567548796, 1975-02-10, 2007-01-07, 0, 1, 6, 55048.54, 1922, 58
108385625, 1984-05-26, 2007-01-09, 2009-03-21, 1, 2, 108182.62, 3942, 48
225637832, 1969-10-15, 2007-01-02, 0, 1, 6, 462293.31, 6018, 151
662748919, 1970-12-31, 2007-01-06, 0, 0, 0, 71012.82, 8000, 74
648742928, 1974-01-20, 2007-01-08, 0, 0, 8, 323564.24, 16520, 42
296885651, 1983-03-13, 2007-01-02, 2017-02-12, 0, 3, 264961.57, 18271, 107
107416708, 1983-03-09, 2007-01-09, 2010-01-06, 0, 5, 292964.61, 5367, 71
560566394, 1973-03-07, 2007-01-07, 2009-01-15, 0, 5, 170410.26, 3607, 69
324331953, 1988-07-17, 2007-01-01, 2008-06-06, 0, 9, 363696.42, 2535, 62
427579286, 1956-01-04, 2007-01-02, 2008-03-17, 1, 9, 67890.13, 2150, 39
261402193, 1982-12-05, 2007-01-10, 2007-11-17, 0, 9, 260354.07, 1538, 9
852495451, 1974-09-28, 2007-01-05, 2007-07-16, 1, 4, 179339.94, 841, 114
336391176, 1947-01-27, 2007-01-01, 2008-12-20, 1, 4, 321016.19, 3495, 82
512997498, 1979-08-08, 2007-01-05, 2011-12-31, 0, 5, 343409.69, 8928, 132
312212978, 1979-05-14, 2007-01-04, 2009-10-31, 0, 8, 75768.53, 5058, 71
122442277, 1973-03-28, 2007-01-09, 0, 0, 3, 120717.55, 7752, 133
625206276, 1978-09-09, 2007-01-08, 2015-09-25, 0, 1, 466301.92, 15732, 99
514417403, 1977-07-05, 2007-01-02, 2008-09-04, 1, 1, 180028.46, 2891, 148
922813828, 1969-07-30, 2007-01-06, 0, 0, 4, 52181.44, 14975, 140
692469968, 1962-06-19, 2007-01-05, 2007-05-17, 0, 7, 219668.75, 539, 117
322621282, 1963-02-17, 2007-01-04, 0, 1, 8, 108103.74, 12496, 41
264826858, 1958-07-01, 2007-01-08, 0, 0, 5, 124098.87, 4910, 65
169391583, 1956-02-13, 2007-01-02, 2013-12-26, 0, 0, 372899.67, 12664, 23
952933907, 1980-02-12, 2007-01-03, 2012-06-06, 1, 4, 124723.63, 9816, 40
699663519, 1982-09-20, 2007-01-02, 2007-06-05, 0, 2, 453391.45, 672, 94
370117654, 1983-03-31, 2007-01-01, 0, 1, 4, 443994.50, 2121, 48
403894440, 1950-09-16, 2007-01-03, 0, 0, 5, 425975.43, 3034, 70
776738689, 1984-09-12, 2007-01-05, 0, 1, 5, 133688.11, 1462, 45
238629991, 1977-06-10, 2007-01-03, 2007-07-15, 0, 8, 183587.56, 832, 128
180264541, 1966-11-05, 2007-01-08, 2007-04-06, 1, 9, 197802.31, 388, 49
610113863, 1965-12-17, 2007-01-06, 0, 1, 7, 65872.10, 18617, 40
359810214, 1974-10-03, 2007-01-10, 0, 0, 1, 195029.42, 3210, 53
138189835, 1951-07-01, 2007-01-09, 2009-07-21, 1, 0, 142061.89, 4563, 34
751306691, 1984-08-20, 2007-01-03, 2008-06-18, 0, 3, 97086.84, 2626, 20
497704262, 1975-09-12, 2007-01-01, 2007-04-17, 1, 3, 195816.69, 496, 31
174152261, 1977-06-29, 2007-01-09, 2010-09-30, 0, 4, 322337.46, 6664, 102
183613548, 1965-03-13, 2007-01-09, 2007-05-07, 1, 1, 168930.64, 558, 29
381251435, 1986-03-08, 2007-01-04, 2008-11-09, 1, 2, 90034.71, 3284, 74
357255225, 1981-07-22, 2007-01-07, 0, 0, 6, 223573.50, 2974, 41
185372637, 1973-03-10, 2007-01-05, 0, 0, 9, 410373.58, 6014, 65
204585462, 1968-11-17, 2007-01-01, 2009-08-25, 0, 7, 95720.22, 4783, 28
173487550, 1947-07-22, 2007-01-02, 0, 1, 5, 149340.63, 8762, 99
353283414, 1957-01-07, 2007-01-05, 2009-07-17, 1, 3, 120663.42, 4529, 68
139148284, 1971-10-05, 2007-01-03, 0, 0, 0, 386244.66, 1152, 86
198844628, 1980-10-07, 2007-01-09, 0, 1, 3, 418145.89, 8024, 21
125889581, 1982-12-14, 2007-01-03, 2010-01-16, 1, 0, 148711.12, 5366, 151
948592453, 1940-03-03, 2007-01-02, 2015-06-25, 0, 0, 72372.10, 15320, 83
847794676, 1967-01-27, 2007-01-06, 0, 1, 1, 60089.81, 6308, 85
450921703, 1946-03-27, 2007-01-10, 2016-06-30, 1, 4, 160906.55, 17103, 106
148901830, 1983-05-15, 2007-01-07, 2007-03-31, 0, 5, 464397.78, 339, 73
512445945, 1967-10-05, 2007-01-09, 2013-07-27, 0, 1, 300714.97, 11858, 38
532138244, 1966-09-26, 2007-01-03, 0, 0, 7, 240237.95, 3645, 26
674527918, 1944-12-29, 2007-01-09, 2013-11-29, 0, 7, 205575.33, 12498, 19
336683302, 1978-12-03, 2007-01-02, 0, 1, 4, 399749.48, 4509, 38
848592683, 1981-08-14, 2007-01-08, 0, 0, 6, 63982.51, 5840, 35
405941151, 1957-02-24, 2007-01-01, 0, 1, 4, 373660.31, 1959, 145
407663244, 1950-12-15, 2007-01-01, 2015-11-23, 1, 6, 232680.77, 16102, 57
392448828, 1981-09-22, 2007-01-01, 2011-07-30, 1, 4, 196536.34, 8261, 52
576589432, 1962-04-25, 2007-01-05, 2007-11-14, 0, 9, 91427.10, 1472, 85
125978244, 1957-11-28, 2007-01-02, 2016-01-23, 1, 7, 51774.41, 16414, 44
651961962, 1967-09-14, 2007-01-03, 0, 1, 2, 151746.73, 5547, 45
400287736, 1964-02-23, 2007-01-03, 2011-08-30, 0, 3, 276480.62, 8402, 56
230904460, 1975-09-13, 2007-01-10, 0, 1, 9, 343762.88, 17730, 71
904595687, 1985-09-02, 2007-01-01, 2009-03-26, 1, 0, 134606.70, 4023, 31
707380318, 1966-03-11, 2007-01-10, 2015-07-30, 1, 1, 111390.53, 15426, 111
633317783, 1959-06-22, 2007-01-08, 0, 1, 0, 308440.14, 9576, 51
368492988, 1985-03-25, 2007-01-08, 0, 1, 1, 408221.01, 11255, 29
570468425, 1981-04-05, 2007-01-09, 2008-12-21, 1, 3, 110950.33, 3503, 39
382253358, 1968-01-29, 2007-01-08, 0, 0, 5, 164938.64, 11733, 38
690240924, 1958-02-15, 2007-01-09, 0, 0, 5, 195485.40, 11439, 39
388440531, 1965-08-31, 2007-01-01, 2009-12-13, 0, 2, 51186.15, 5290, 68
889739153, 1956-11-20, 2007-01-05, 2010-01-01, 0, 5, 107023.37, 5386, 47
154801350, 1960-04-04, 2007-01-05, 0, 1, 6, 287341.35, 10154, 60
814960325, 1962-01-14, 2007-01-05, 2007-12-09, 0, 6, 173931.91, 1550, 131
810573983, 1951-12-20, 2007-01-03, 2009-12-11, 0, 2, 258225.12, 5252, 86
145117686, 1972-08-02, 2007-01-07, 2015-03-02, 0, 7, 272492.93, 14755, 51
720886166, 1982-11-11, 2007-01-10, 2010-12-04, 0, 4, 349733.36, 7047, 37
853336568, 1974-08-08, 2007-01-04, 0, 0, 2, 73253.97, 245, 113
249284556, 1970-09-03, 2007-01-01, 2014-08-24, 0, 7, 153301.96, 13824, 67
946510364, 1970-04-08, 2007-01-07, 0, 1, 0, 413352.10, 1664, 7
736333851, 1979-02-11, 2007-01-05, 2008-09-14, 1, 1, 259105.71, 2970, 104
930548985, 1976-02-06, 2007-01-06, 0, 1, 6, 236067.84, 10299, 29
781542618, 1957-01-20, 2007-01-09, 0, 1, 7, 214292.03, 5155, 44
324213416, 1982-05-30, 2007-01-03, 0, 1, 7, 437488.49, 17774, 67
368487650, 1974-08-20, 2007-01-02, 0, 1, 8, 168393.46, 842, 83
859490989, 1987-04-13, 2007-01-09, 2007-09-11, 1, 8, 91707.60, 1064, 154
215710411, 1967-01-29, 2007-01-03, 0, 0, 5, 205497.82, 11085, 54
945381528, 1973-04-01, 2007-01-08, 0, 0, 4, 295802.70, 3847, 133
207786369, 1952-09-02, 2007-01-05, 2010-04-14, 1, 3, 215236.83, 5899, 46
385592990, 1975-06-22, 2007-01-08, 2013-08-10, 1, 5, 30502.99, 11881, 89
692273342, 1978-07-24, 2007-01-03, 0, 0, 0, 22387.40, 10312, 76
826741968, 1955-08-10, 2007-01-05, 0, 0, 8, 358830.72, 6071, 48
612992556, 1974-11-05, 2007-01-07, 0, 1, 5, 94458.02, 8302, 91
118863543, 1968-03-06, 2007-01-03, 0, 0, 8, 168537.05, 1337, 80
587865121, 1982-02-08, 2007-01-09, 0, 0, 8, 252299.30, 4966, 34
725869237, 1966-11-04, 2007-01-08, 0, 1, 2, 120138.54, 15120, 14
933695629, 1978-04-29, 2007-01-09, 2008-01-22, 0, 9, 229501.90, 1856, 24
354526126, 1980-07-31, 2007-01-08, 2014-07-17, 1, 2, 144408.48, 13646, 21
784932586, 1973-03-01, 2007-01-06, 2014-11-27, 1, 8, 222569.86, 14300, 38
377579182, 1978-04-11, 2007-01-01, 0, 0, 9, 167011.53, 18985, 115
959644183, 1966-03-10, 2007-01-09, 2011-08-20, 1, 3, 270477.38, 8347, 31
403613352, 1959-04-07, 2007-01-02, 0, 1, 5, 148936.29, 7639, 47
946685145, 1982-12-18, 2007-01-06, 2008-04-19, 0, 6, 189031.77, 2264, 69
743568191, 1980-10-02, 2007-01-02, 2009-10-30, 1, 1, 61775.89, 5061, 73
907940613, 1981-11-05, 2007-01-08, 0, 0, 5, 112252.01, 10436, 27
955986130, 1963-12-26, 2007-01-10, 2011-04-29, 0, 7, 174721.68, 7700, 111
348571154, 1980-02-28, 2007-01-10, 2014-07-12, 0, 5, 113832.42, 13574, 58
845198830, 1952-07-06, 2007-01-09, 2010-12-17, 0, 5, 202533.69, 7078, 76
274384858, 1945-12-04, 2007-01-10, 0, 0, 8, 215729.83, 18513, 50
277142524, 1948-04-08, 2007-01-04, 2008-06-27, 1, 1, 101545.09, 2636, 50
449918846, 1945-11-06, 2007-01-02, 0, 1, 6, 88174.90, 6584, 28
305444824, 1961-03-27, 2007-01-02, 2008-12-31, 1, 6, 82850.18, 3551, 76
198373597, 1958-11-22, 2007-01-03, 0, 1, 4, 96724.25, 12608, 49
803457302, 1943-11-24, 2007-01-03, 2014-01-19, 0, 7, 174552.30, 12681, 120
836435838, 1974-05-28, 2007-01-04, 0, 0, 4, 102279.63, 17978, 92
793322389, 1966-10-29, 2007-01-05, 0, 0, 7, 85170.47, 3136, 92
500804480, 1974-03-31, 2007-01-10, 2014-10-11, 0, 3, 277837.13, 14056, 29
719985258, 1966-04-15, 2007-01-10, 0, 1, 6, 348788.35, 9293, 25
679628282, 1956-02-09, 2007-01-03, 0, 0, 4, 174536.30, 6483, 69
621502108, 1968-12-25, 2007-01-06, 0, 0, 6, 204106.87, 1897, 48
559781726, 1965-06-02, 2007-01-03, 0, 0, 0, 385420.73, 466, 26
888413491, 1965-04-26, 2007-01-10, 2010-12-03, 0, 8, 215066.12, 7007, 72
207795667, 1975-11-09, 2007-01-06, 2009-01-07, 1, 7, 96994.65, 3562, 79
206764468, 1963-03-09, 2007-01-05, 2011-08-04, 0, 2, 216564.53, 8237, 81
124387664, 1957-02-10, 2007-01-04, 0, 0, 1, 48416.07, 10993, 92
802367270, 1968-06-30, 2007-01-03, 0, 1, 6, 72641.73, 11248, 75
500454108, 1957-04-01, 2007-01-03, 0, 0, 4, 157224.03, 2944, 56
869201210, 1978-07-04, 2007-01-09, 0, 0, 4, 245049.16, 6633, 108
845138994, 1973-07-01, 2007-01-04, 0, 1, 4, 391917.90, 11157, 32
610471614, 1971-02-21, 2007-01-07, 2009-02-08, 1, 6, 171475.12, 3661, 135
562623270, 1979-01-16, 2007-01-10, 2008-07-25, 0, 3, 294668.17, 2713, 83
934392909, 1975-03-06, 2007-01-06, 0, 1, 0, 53835.80, 10829, 62
897613969, 1946-02-09, 2007-01-09, 0, 1, 5, 349258.39, 13205, 54
154630864, 1955-01-12, 2007-01-03, 0, 1, 3, 216707.18, 1322, 46
209738586, 1967-12-25, 2007-01-04, 2014-01-30, 0, 8, 61489.48, 12791, 60
475790959, 1973-12-04, 2007-01-07, 0, 0, 9, 301150.90, 5396, 32
561456396, 1976-08-09, 2007-01-01, 0, 0, 9, 86323.36, 10875, 155
623763421, 1961-07-13, 2007-01-10, 0, 0, 4, 63451.74, 3847, 128
779978628, 1977-01-23, 2007-01-08, 0, 0, 1, 368376.73, 18055, 90
993763736, 1963-07-18, 2007-01-10, 2007-10-05, 0, 2, 314336.06, 1189, 144
934596947, 1968-11-21, 2007-01-02, 0, 1, 9, 182456.62, 6337, 86
775841394, 1947-06-30, 2007-01-01, 2010-08-25, 0, 3, 203010.76, 6502, 125
